country,district,location,latitude,longitude,period,An_merus,An_arabiensis,An_gambiae,An_quadriannulatus,indoor/outdoor,stage,collection_method,identification_method,region,article
South_Africa,Ehlanzeni,Nkomazi,-25.666664,31.666664,2005- 2014,7898,539,0,2780,,adult/larvae,,PCR,Southern_Africa,"Mbokazi et al., 2018"
South_Africa,Tonga,Oompies,,,August1997 to May1998,4,1,0,2,indoor/outdoor,adults,"mosquito landing catches, pyrethrum knockdown catches",PCR,Southern_Africa,"Govere et al., 2000"
Tanzania,Pemba,Pemba,-12.97395,40.51775,September 1959 to September 1960,5963,0,0,0,outdoor,adults,outdoor resting catches,salt tolerance test,East_Africa,"Iyengar et al., 1962"
Mauritius,Pointe aux Piments,Pointe aux Piments,-20.04655,57.537707,1963,18,0,27,0,outdoor,adults,,salt tolerance,Southern_Africa,"Patterson et al., 1963"
Mozambique,Boane,Salamanga,-26.4725,32.616389,01/05/2000,59,22,0,0,indoor,adult,HBI,"morphology, PCR",Southern_Africa,"Cuamba et al., 2009"
Mozambique,Boane,Salamanga,-26.4725,32.616389,12/05/2000,98,17,0,0,outdoor,adult,HBO,"morphology, PCR",Southern_Africa,"Cuamba et al., 2009"
Tanzania,Handeni,Segera,-5.3,38.55,apr-1982 to jan-1985,48,54,391,0,indoor,adults,"psc, hand catches","cytotaxonomy,isoenzyme electrophoresis",East_Africa,"mnzava et al., 1986"
Tanzania,Tanga,Tawalani,-4.866667,39.15,apr-1982 to jan-1985,34,14,148,0,indoor,adults,"psc, hand catches","cytotaxonomy,isoenzyme electrophoresis",East_Africa,"mnzava et al., 1986"
Kenya,Kwale,Tsuini,-4.601077,39.166879,june 1997 to may 1998,3,11,30,0,indoor,adults,pyrethrum spray collection,"morphology, PCR",East_Africa,"mbogo et al., 2003"
South_Africa,Ehlanzeni,Umjindi,-25.746,31.034,2005- 2016,360,0,0,171,,adult/larvae,,PCR,Southern_Africa,"Mbokazi et al., 2018"
Tanzania,Tanga,Vyeru,-4.95,39.133,1977,89,23,209,0,,adult,"pyrethrum spray collection, human bait","morphology, salt tolerance, cytotaxonomy",East_Africa,"Bushrod et al., 1981"
Tanzania,Zanzibar,Zanzibar,-6.166666,39.2333324,apr-1982 to jan-1985,32,125,554,0,indoor,adults,"psc, hand catches","cytotaxonomy,isoenzyme electrophoresis",East_Africa,"mnzava et al., 1986"
Tanzania,Rufiji,Rufiji ,-8,38.666667,October 2003 to September 2004,39,135,388,0,outdoor,adults,cdc light trap,PCR,East_Africa,"Kigadye et al., 2010"
South_Africa,NKunduse,NKunduse,-28.083333,32.333333,January to May 1981,,,,,outdoor,adults,human bait,"morphology, salt tolerance, cytotaxonomy",Southern_Africa,"Sharp et al., 1983"
South_Africa,Zululand ,Makanis drift,-27,32.25,1983,,,,,,adults,,"isoenzyme electrophoresis, cytotaxonomy",Southern_Africa,"Coetzee & Cross et al., 1983"
South_Africa,Gazankulu,Soutini,-23.433333,30.9,1983,,,,,,adults,,"isoenzyme electrophoresis, cytotaxonomy",Southern_Africa,"Coetzee & Cross et al., 1983"
